,name,link,location,price,rating
0,FiveM Notting Hill,https://www.booking.com/hotel/gb/fivem-apartments-notting-hill.html?label=gen173nr-1FCAEoggI46AdIM1gEaFCIAQGYATG4ARfIAQzYAQHoAQH4AQKIAgGoAgO4AqqI1LwGwAIB0gIkNjkyMzM1ZDEtNzUzZC00YzlmLWFiZTYtMWZiNjE4ZWUwZTAz2AIF4AIB&aid=304142&ucfs=1&arphpl=1&checkin=2025-01-25&checkout=2025-02-28&dest_id=-2601889&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=1&hapos=1&sr_order=popularity&srpvid=0ef94cd09a5f056f&srepoch=1737889084&all_sr_blocks=1267153003_399432320_0_0_0&highlighted_blocks=1267153003_399432320_0_0_0&matching_block_id=1267153003_399432320_0_0_0&sr_pri_blocks=1267153003_399432320_0_0_0__536706&from=searchresults,"Kensington and Chelsea, London",5367,8.5
1,The Pelham London - Starhotels Collezione,https://www.booking.com/hotel/gb/the-pelham.html?label=gen173nr-1FCAEoggI46AdIM1gEaFCIAQGYATG4ARfIAQzYAQHoAQH4AQKIAgGoAgO4AqqI1LwGwAIB0gIkNjkyMzM1ZDEtNzUzZC00YzlmLWFiZTYtMWZiNjE4ZWUwZTAz2AIF4AIB&aid=304142&ucfs=1&arphpl=1&checkin=2025-01-25&checkout=2025-02-28&dest_id=-2601889&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=2&hapos=2&sr_order=popularity&srpvid=0ef94cd09a5f056f&srepoch=1737889084&all_sr_blocks=115775301_88652856_0_2_0&highlighted_blocks=115775301_88652856_0_2_0&matching_block_id=115775301_88652856_0_2_0&sr_pri_blocks=115775301_88652856_0_2_0__910500&nad_id=8c014a20-fe93-4dad-86e6-6a8ba6b9dbc9_0&nad_cpc=1.28&nad_track=eyJhdWN0aW9uRXBvY2giOjE3Mzc4ODg5Mjk2MDIsInJhbmsiOjEsImtvZGRpVHJhY2tpbmdJbmZvIjoiWS83dWp0QUZDWFEra2V0Z0owYXNSWVZGSnh1NkNjaVdqd1pWNTlGdFJObjFpQTdhV3V3NFZlR2NYYXAvOTk3ZDVzdmxzNzhjbDFaVjJ2L042elBOKzJJdTU4SGdUUXhuek9WdlhqVXRkelBWdjVpWEJ6MlRwRTFHUjlrT0hqVXh1NGkyZnZXK1crS2JYWDl6QlN5WGhKcHU1cXB1M0tKVnBaY1VTU1VvTFRBbU1hNmpNb0hqYjg5ZTZBTlUvNEtnQ2hLQmV5L2kyMXhDK05MVW1sTmNWbWl0RUg5U0lYZVpnUDBySnpVWkdwWHNOWFlUbktTRFo2NmJlMDZHbHZxS0JDM21NcUJjSCsrZld5UUhONXpFL1lzclJ5RUNHTzBNaUVOaVphWEdrL0tpN3YvZWhid0s1TTVVYTFqN0dEY045OFhadTVRaWNUdzhaalNUWGVaTVUwOFV2YUl5dkxlU1g0VEpyWUgrNnZOL1c4ZjFmZlhGZkI0VFZ3ZnBHZ0F3ZHo0c2c5UExsZC9HY1pJQlJnZkRBTjRuZ0JmdjQwdzhiWjZ5QTF1L0liNzFzRjY4emNQSnp2cnlseFhxN0ErVkJVb3hVckRVSWNyYkdVdlpQRmVmbGhHM1I1SGU1NCtFTng1MVM3TWdBZEZGdWNCN052bUpmV3Zob3U4L2FjcmZOZ2d0eEtuMEJDQkt4ck85OGQxbk51bytVVjVTcTFTSUFyTk9BMUZ5NFV5eVBoRVZaZkZmVVVybGFuWFp5LzY3d3VZY21CTm4yUjFVQ25BaUdaMnJDUHdGekVJZ0RHVEkzSWdlb3pWcjJ6NldEN3g4cmhvZk5YS1BlakRyZCtyOEZsVGptTFYvbWJ3VzZDMzVoNEc2S05BNWZ3bTYzUWgrRkhhaGVIK3Z5VnRUZGZTYlVUc0xOdlVMdm16YXkvRmpIV1o5dk4vNWdiRUxQK1V0dVEyT1VnZkNMTkQzQlJ2bXRZSVVKT1pFVk91ajNPTkEvMjdMOEdZTVd0VVZLOTlrN29MWlMvbUlITGl0bXdQa3ArNUF4OWd6QjNXQlg5UG9KVGREWGVwakFRVmcvU01BalpzTHBHS1R5dHdUMFozN3dndkk3c2VjMzBmNExkbGZpRG4rNHNyTHBmQmxEbnhhLzJPVnBMcmp1anV1cmx1Z2t0UnlQd2NyYk1oa1RhaDBWd1M3SlMvNjNpOEVPZ28zdnhrWTlJNTJkdDVINzNwek0xNERBT1k3K04wbnd4bCtGeG9oRjdwdGcxNFhsLzIxaCtOSjVqQTJRbWR0eHE1NDF0NkhkMXhWWFBOQzR6TUIwVFNqWWIzTlZhdGQxMDY1N1hTMkNVWlFBZ3h6V3NTNnhodFZwcVJOcjFpY1NHa2REM1JqR1YxK1RzaXNiQTFSZ3UreGlHa0x2bGZzWWRpOTJpcGthMnB0ais1aDNwUUJkYnc1UTdHb2dOUnBJV3dQQUhrREVTM2tURG54QjkvZitQYWdRd1Zqb3ZYaVNTVm1ybVhLM1NneTByUkg5eWxTSG1mdkc3a3ZleC9nNEtxR3hLdkc5NldMbU9tVlhRL2F6VFRRNzdoU3NpOHlPN2lxTUdTb3o1Ym5nNytCeWN4K09nUVJteXNKVU1RaHppTmJnbHZjYVRFUTVYT1hxM3hWNUw4dTJYcEpEd1k1ZkQxVmh6cGVVL1RMaTlCd09qTmhYbTBpOEZ0MnhhcWhKejBsSXgvTUtMUTQ5RTl4bjVaVGlCUlY2Z203aE4xWTBvWmhPbVBBbnR5OU0yN0R5RXBNdFMrOWRaLzd0SjNQZWs0UENncVhmU1VVSjY1OWZFbk5penFMYng2R0lwSnlJN0wxU0hjSXkrTzNFVXhjUkFqOHd4d01GR29hUnRHNEkwcHBoZVc4NDBBTmI1QXpmU3VIaU9XZU9NOG5UQnNHQURCd2dkaUVMQ3gvME53YlVFOVRLRzBqVm5XaGlyRU9QZThrRDhxci94UDlidVBPU3BWSEF4bDRCNzh2ZU1BV0h0NzZVNmh4SFRMa2JXTS9FeWtxNjlMS1BoVWo3cXZOSThiNklKcTNUaWxHQXRicWRmckxVaXIwU2hZVWFZUnJsUXJiQllnQjlDSHd1T1UxbVMvc0hkUzA1MHdWSndHd0VCMzlmVVJqVlVzV2VqYmhrZEF0bzMvMWwvNjROc0lzOHgveC8yQkdmRkVzcllhQnpGaC8rbjVYbzZ1NURheU1vTlhzOWR5RDFnRlA2RDV3QkorY0E0NjI5TkhJbkpncERITTJrS0FkMWtKVVBVMlFpRFk1NlVjZ0NaaExSTVZyajdUTXp5MzlrN0dxajBlNlJWQUpoMUZXZHNzZEt6U2VmR2xJdC9QUWxhdGU2QkpPYzFaVUQwOXFtVHB1U054ajJZekFCS2Y2UHhxZm4vUFhtSENwcjNHK3BzTFRYSFlzSldGVVIzTmNnRThjQmFYVkVYS3NadU1GNzdlZ1dVNjJWNzBGaUp5MTVCdWszZXM0VHJnSGx2Z0MxNWZrSm5YN1B0QS9ZUXIwWHhoYmlQaE9xb1N0Tm1oajRxNUswaE01WlE1eWhiSzh4TlpMWGFNd1RpbysyekYvUEFEODFSUDd1cURSYVcvTHJsUW81WkhwNTk1b2k2V0ZOZm9BbGJuNHNjSDlKQWhZM3ZqZlR5VFRnM3hFOHRZSHRKUk9hbHJWT2dGMlkwTXZPZG41NjBCKzlWZ2ppRnpKQk90eTRqWWloV0hMRmlmdU02UjBFaTNxeW1mVkk3RlBYNVRjV1VoK0hpT096N21WeVVOdzdxRWpjNldWSElpSkMxSFpRdHZseDhFRjlENGRJdWxyV2szWHRFZkthZzd2anBZek1WWUZMOERoWnRFY000ZVZ2enF6emhQZDZEeWErb2wwOC9mQ1VvTkFxK1BnTm8yNDB1VEU2V2xFMVUzaFh3QVlyNE5RWU1VYnB2RDMzbGZwOExPVlJLMGZOTzNyTWFvNnB5aXdaWmU2NEVNSW9YRG9Zb2JsZUtwSitUKzhCT2I1MkMrb05CR2dNRG5YTEptS3NiZUE0eTRXSG9sM3NTMFZrNmtLTVpIOXVuN0I0WFJ0UDZOUUk3enp5a3QyVE5vVTVuMUEyOTFZL0V6L0VpdXZPcXJNZkpTeUJVbXVEOENtbkZZY0dseVByYkQ3YjJWbFNnMUh2M2k3UGpTOHBZWEhJUUZ3MGN3aGFLMUl6dWtCODNCZ0w0NHZjZ21lWjB2S3kzTWJ4NzNyZENiczNlZTVBTGthQ2Iyb1dpY01NZWMxdjMreEEzZlk1TkxWd3JmQlBhMDNCZ1F0Q1lncE1FUEExYlQ1Q1FiL1loRGVmaG9MalVJUUNXZlV5Z3NBMk5qemdQeEFjMS9BNzNzUVYzSDFyZS9VLzBPdi9WZjcwRmhrZHlsMHRpeTJnall2am1PRkY2dERJT2VVWU5SV0RhcTJ4YlBwU1NNPSJ9&from=searchresults,"Kensington and Chelsea, London",9105,8.3
2,Britannia International Hotel Canary Wharf,https://www.booking.com/hotel/gb/britannia-londoninternational.html?label=gen173nr-1FCAEoggI46AdIM1gEaFCIAQGYATG4ARfIAQzYAQHoAQH4AQKIAgGoAgO4AqqI1LwGwAIB0gIkNjkyMzM1ZDEtNzUzZC00YzlmLWFiZTYtMWZiNjE4ZWUwZTAz2AIF4AIB&aid=304142&ucfs=1&arphpl=1&checkin=2025-01-25&checkout=2025-02-28&dest_id=-2601889&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=3&hapos=3&sr_order=popularity&srpvid=0ef94cd09a5f056f&srepoch=1737889084&all_sr_blocks=11942913_394361133_2_34_0&highlighted_blocks=11942913_394361133_2_34_0&matching_block_id=11942913_394361133_2_34_0&sr_pri_blocks=11942913_394361133_2_34_0__293500&from=searchresults,"Tower Hamlets, London",2935,6.1
3,Charming 2-Bed Flat in Elephant,https://www.booking.com/hotel/gb/charming-2-bed-flat-in-elephant.html?label=gen173nr-1FCAEoggI46AdIM1gEaFCIAQGYATG4ARfIAQzYAQHoAQH4AQKIAgGoAgO4AqqI1LwGwAIB0gIkNjkyMzM1ZDEtNzUzZC00YzlmLWFiZTYtMWZiNjE4ZWUwZTAz2AIF4AIB&aid=304142&ucfs=1&arphpl=1&checkin=2025-01-25&checkout=2025-02-28&dest_id=-2601889&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=4&hapos=4&sr_order=popularity&srpvid=0ef94cd09a5f056f&srepoch=1737889084&all_sr_blocks=1347208601_407078503_4_0_0&highlighted_blocks=1347208601_407078503_4_0_0&matching_block_id=1347208601_407078503_4_0_0&sr_pri_blocks=1347208601_407078503_4_0_0__520130&from=searchresults,"Southwark, London",5201,N/A
4,Hampstead Britannia,https://www.booking.com/hotel/gb/britannia-primrose.html?label=gen173nr-1FCAEoggI46AdIM1gEaFCIAQGYATG4ARfIAQzYAQHoAQH4AQKIAgGoAgO4AqqI1LwGwAIB0gIkNjkyMzM1ZDEtNzUzZC00YzlmLWFiZTYtMWZiNjE4ZWUwZTAz2AIF4AIB&aid=304142&ucfs=1&arphpl=1&checkin=2025-01-25&checkout=2025-02-28&dest_id=-2601889&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=5&hapos=5&sr_order=popularity&srpvid=0ef94cd09a5f056f&srepoch=1737889084&all_sr_blocks=11701014_394234868_2_2_0&highlighted_blocks=11701014_394234868_2_2_0&matching_block_id=11701014_394234868_2_2_0&sr_pri_blocks=11701014_394234868_2_2_0__251400&from=searchresults,"Camden, London",2514,6.6
5,Stylish 2 Bedroom flat in Notting Hill,https://www.booking.com/hotel/gb/stylish-2-bedroom-flat-in-notting-hill.html?label=gen173nr-1FCAEoggI46AdIM1gEaFCIAQGYATG4ARfIAQzYAQHoAQH4AQKIAgGoAgO4AqqI1LwGwAIB0gIkNjkyMzM1ZDEtNzUzZC00YzlmLWFiZTYtMWZiNjE4ZWUwZTAz2AIF4AIB&aid=304142&ucfs=1&arphpl=1&checkin=2025-01-25&checkout=2025-02-28&dest_id=-2601889&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=6&hapos=6&sr_order=popularity&srpvid=0ef94cd09a5f056f&srepoch=1737889084&all_sr_blocks=1348023901_407146848_3_0_0&highlighted_blocks=1348023901_407146848_3_0_0&matching_block_id=1348023901_407146848_3_0_0&sr_pri_blocks=1348023901_407146848_3_0_0__625055&from=searchresults,"Kensington and Chelsea, London",6251,N/A
6,Copthorne Tara Hotel London Kensington,https://www.booking.com/hotel/gb/copthornetara.html?label=gen173nr-1FCAEoggI46AdIM1gEaFCIAQGYATG4ARfIAQzYAQHoAQH4AQKIAgGoAgO4AqqI1LwGwAIB0gIkNjkyMzM1ZDEtNzUzZC00YzlmLWFiZTYtMWZiNjE4ZWUwZTAz2AIF4AIB&aid=304142&ucfs=1&arphpl=1&checkin=2025-01-25&checkout=2025-02-28&dest_id=-2601889&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=7&hapos=7&sr_order=popularity&srpvid=0ef94cd09a5f056f&srepoch=1737889084&all_sr_blocks=12342822_380253074_2_2_0&highlighted_blocks=12342822_380253074_2_2_0&matching_block_id=12342822_380253074_2_2_0&sr_pri_blocks=12342822_380253074_2_2_0__346440&from_sustainable_property_sr=1&from=searchresults,"Kensington and Chelsea, London",3464,7.2
7,Marlin Apartments Commercial Road - Limehouse,https://www.booking.com/hotel/gb/marlin-apartments-mission-court.html?label=gen173nr-1FCAEoggI46AdIM1gEaFCIAQGYATG4ARfIAQzYAQHoAQH4AQKIAgGoAgO4AqqI1LwGwAIB0gIkNjkyMzM1ZDEtNzUzZC00YzlmLWFiZTYtMWZiNjE4ZWUwZTAz2AIF4AIB&aid=304142&ucfs=1&arphpl=1&checkin=2025-01-25&checkout=2025-02-28&dest_id=-2601889&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=8&hapos=8&sr_order=popularity&srpvid=0ef94cd09a5f056f&srepoch=1737889084&all_sr_blocks=3696001_263870277_2_0_0&highlighted_blocks=3696001_263870277_2_0_0&matching_block_id=3696001_263870277_2_0_0&sr_pri_blocks=3696001_263870277_2_0_0__391680&from=searchresults,"Tower Hamlets, London",3917,8.6
8,Ambassadors Bloomsbury,https://www.booking.com/hotel/gb/ambassadors-bloomsbury.html?label=gen173nr-1FCAEoggI46AdIM1gEaFCIAQGYATG4ARfIAQzYAQHoAQH4AQKIAgGoAgO4AqqI1LwGwAIB0gIkNjkyMzM1ZDEtNzUzZC00YzlmLWFiZTYtMWZiNjE4ZWUwZTAz2AIF4AIB&aid=304142&ucfs=1&arphpl=1&checkin=2025-01-25&checkout=2025-02-28&dest_id=-2601889&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=9&hapos=9&sr_order=popularity&srpvid=0ef94cd09a5f056f&srepoch=1737889084&all_sr_blocks=3463602_277112602_2_2_0&highlighted_blocks=3463602_277112602_2_2_0&matching_block_id=3463602_277112602_2_2_0&sr_pri_blocks=3463602_277112602_2_2_0__575600&from=searchresults,"Camden, London",5756,7.6
9,Cozy flat London,https://www.booking.com/hotel/gb/cozy-flat-london-greater-london1.html?label=gen173nr-1FCAEoggI46AdIM1gEaFCIAQGYATG4ARfIAQzYAQHoAQH4AQKIAgGoAgO4AqqI1LwGwAIB0gIkNjkyMzM1ZDEtNzUzZC00YzlmLWFiZTYtMWZiNjE4ZWUwZTAz2AIF4AIB&aid=304142&ucfs=1&arphpl=1&checkin=2025-01-25&checkout=2025-02-28&dest_id=-2601889&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=10&hapos=10&sr_order=popularity&srpvid=0ef94cd09a5f056f&srepoch=1737889084&all_sr_blocks=1271214501_399893905_2_0_0&highlighted_blocks=1271214501_399893905_2_0_0&matching_block_id=1271214501_399893905_2_0_0&sr_pri_blocks=1271214501_399893905_2_0_0__212891&from=searchresults,"Golders Green, London",2129,6.8
